source,campaign,impr,cost,clicks,cpc
instagram,CAMPAIGN_1,337187,29675.753457,22420,1.323640419
instagram,CAMPAIGN_2,204071,9870.268536,13545,0.7286804772
instagram,CAMPAIGN_3,264959,20123.040525,17605,1.143055822
facebook,CAMPAIGN_4,339491,28698.486676,22573,1.2713409
facebook,CAMPAIGN_5,311699,31473.044793,20721,1.518925359
instagram,CAMPAIGN_6,113831,3426.375467,7529,0.4550662027
facebook,CAMPAIGN_7,214727,20337.979194,14256,1.42664594
instagram,CAMPAIGN_8,169379,3839.446737,11233,0.3418128249
instagram,CAMPAIGN_9,139859,16226.472422,9265,1.751448786
instagram,CAMPAIGN_10,175523,7951.665826,11642,0.6830037129
facebook,CAMPAIGN_11,170423,6504.383439,11302,0.5754971102
instagram,CAMPAIGN_12,119483,12508.939207,7906,1.582168324
facebook,CAMPAIGN_13,17387,969.241363,1100,0.8812887463
instagram,CAMPAIGN_14,54887,3812.797329,3600,1.059169212
facebook,CAMPAIGN_15,163811,4094.214729,10861,0.3769509206
facebook,CAMPAIGN_16,196583,10433.796647,13046,0.7997575269
instagram,CAMPAIGN_17,221315,6318.212143,14695,0.4299565936
facebook,CAMPAIGN_18,72251,8775.644907,4757,1.844630451
facebook,CAMPAIGN_19,197999,18040.006852,13141,1.372844988
instagram,CAMPAIGN_20,283763,23167.268969,18858,1.228498423
instagram,CAMPAIGN_21,43907,5203.999311,2868,1.814631185
instagram,CAMPAIGN_22,100427,4156.156909,6636,0.6263234137
facebook,CAMPAIGN_23,99431,3364.476429,6569,0.51214364
instagram,CAMPAIGN_24,17603,837.583071,1114,0.7517349403
instagram,CAMPAIGN_25,253259,16095.417871,16825,0.9566597643
instagram,CAMPAIGN_26,339275,25210.223908,22559,1.117524
facebook,CAMPAIGN_27,177935,16983.799314,11803,1.438939195
facebook,CAMPAIGN_28,217091,7887.408937,14413,0.5472275061
facebook,CAMPAIGN_29,336131,20964.775212,22349,0.9380464447
instagram,CAMPAIGN_30,112271,8740.690682,7425,1.177133984
instagram,CAMPAIGN_31,192635,19180.465674,12783,1.500466688
instagram,CAMPAIGN_32,22775,2516.654141,1459,1.724917163
facebook,CAMPAIGN_33,45323,4744.896954,2962,1.601815189
facebook,CAMPAIGN_34,73535,4097.865920,4843,0.8461420443
instagram,CAMPAIGN_35,293063,32518.054950,19478,1.669458931
facebook,CAMPAIGN_36,267491,18336.362108,17773,1.031674418
